url,status_code
http://www.britarch.ac.uk/pubs/puns/index.HTML,unknown
http://ilex.cc.kcl.ac.uk/wlm/onomasticon-sampler/,unknown
http://ilex.cc.kcl.ac.uk/wlm/essays/diy/index.html,unknown
http://www.chass.utoronto.ca/epc/chwp/,unknown
http://www.chass.utoronto.ca:8080/epc/chwp/,unknown
http://huco.ualberta.ca/HyperPo/,unknown
oreillynet.com,unknown
http://lists.nonprofit.net/listproc/archives/acra-l/0104/0242.html,unknown
http://localhost:8080/heml-cocoon/source/second_punic_war.xml#Rome,unknown
http://www.java.utoronto.ca/~brucerob/early_history.xml#Rome,unknown
http://localhost:8080/heml-cocoon/source/second_punic_war.xml#Carthage,unknown
http://localhost:8080/heml-cocoon/source/second_punic_war.xml&lt,unknown
http://heml.mta.ca/~brucerob/first_punic_war.xml&lt,unknown
http://www.java.utoronto.ca/~brucerob/early_history.xml&lt,unknown
OpenText.org,unknown
http://db.uwaterloo.ca/OED/,unknown
http://www.hit.uib.no/claus/mlcd/papers/texmecs.html,unknown
http://www.sbl-site2.org/Extreme2001/,unknown
http://www.hit.uib.no/claus/mlcd/papers/texmecs.html,unknown
http://jefferson.village.virginia.edu/vshadow2/,unknown
http://ksl-web.stanford.edu/kst/what-is-an-ontology.html,unknown
httpd://www.cogsci.princeton.edu/cgi-bin,unknown
ftp://ftp.cis.upenn.edu/pub/steedman/temporality/,unknown
http://www.unn.ac.uk/iidr/research/cbir/report.html,unknown
http://www.unn.ac.uk/iidr/ARLIS/,unknown
http://www.forcedmigration.org,unknown
http://sunsite.berkeley.edu/Scriptorium/datadic5.html,unknown
http://laurentius.lub.lu.se/search/presentation/laurentius.pdf,unknown
http://www.stg.brown.edu/~tei-mmss/,unknown
salon.com,unknown
http://www.summer-web.com,unknown
http://gwen.webica.com/cam/,unknown
http://www.compapp.dcu.ie/~tonyv/MIND/greg.html,unknown
http://idun.itsc.adfa.edu.au/ASEC/aueledns.html,unknown
